Samples,Class_diet,Class_wght,Order,Batch,235.9261_0.47,356.9275_0.55,434.8719_0.56,288.9364_0.56,304.9139_0.56,146.9612_0.56,130.9663_0.56,158.9786_0.56,174.9561_0.57,114.9888_0.57,226.9672_0.57,112.9856_0.61,306.9189_0.61,203.0205_0.69,78.9512_0.69,395.0961_0.69,286.7720_0.69,578.5618_0.70,794.4212_0.70,576.5647_0.70,620.5464_0.70,618.5492_0.70,556.5961_0.70,284.7747_0.70,566.7784_0.70,564.7813_0.70,94.9249_0.70,92.9278_0.70,460.6474_0.70,520.6032_0.70,518.6061_0.70,214.8363_0.70,516.6091_0.70,96.9221_0.70,564.5849_0.70,562.5877_0.70,560.5907_0.70,558.5934_0.70,498.6379_0.70,274.9885_0.70,272.9913_0.70,448.6675_0.70,458.6505_0.70,506.6266_0.70,272.7949_0.70,440.6793_0.70,330.7535_0.70,266.8037_0.70,270.7978_0.70,268.8008_0.70,208.8451_0.70,324.7622_0.70,502.6322_0.70,212.8393_0.70,500.6351_0.70,504.6292_0.70,328.7564_0.70,210.8422_0.70,382.7208_0.70,326.7593_0.70,446.6707_0.70,444.6737_0.70,388.7122_0.70,442.6765_0.70,386.7151_0.70,384.7180_0.70,145.0619_0.70,154.8807_0.70,252.8271_0.70,152.8836_0.70,150.8866_0.70,76.9541_0.71,215.0327_0.71,124.0074_0.71,146.0459_0.71,164.8361_0.72,162.8390_0.72,160.8420_0.72,199.8049_0.75,193.8154_0.75,195.8109_0.75,197.8079_0.75,201.8019_0.75,163.8467_0.76,161.8498_0.77,207.8367_0.77,205.8397_0.77,125.8732_0.78,127.8702_0.78,226.9963_0.79,173.0091_0.80,179.0561_0.80,144.9673_0.82,146.0823_0.83,87.0086_0.84,154.9281_0.84,243.0622_0.84,116.0718_0.84,101.0244_0.92,133.0142_0.93,145.0143_0.94,135.0312_0.96,146.9830_0.97,201.0381_0.97,185.0643_0.97,231.9675_0.97,89.0243_0.97,78.9589_0.97,96.9694_0.97,208.9830_0.99,128.0354_1.03,383.1224_1.15,163.0401_1.15,216.0433_1.16,300.0250_1.16,248.0540_1.16,180.0667_1.16,189.0405_1.17,292.1402_1.18,117.0194_1.27,130.0874_1.27,267.0735_1.30,134.8653_1.52,132.8677_1.52,103.0402_1.56,115.0402_1.98,147.0452_2.11,164.0718_2.11,232.0592_2.12,117.0558_2.71,116.0506_2.87,203.0827_2.88,271.0701_2.89,181.0508_2.92,129.0558_3.21,181.0063_3.26,198.0328_3.27,266.0201_3.28,374.2219_3.44,178.0511_3.54,134.0612_3.54,212.0024_3.54,330.0960_3.54,129.0559_3.54,281.1009_3.55,246.0386_3.55,197.0433_3.55,167.0384_3.62,230.0129_3.75,131.0715_3.81,74.0246_3.90,192.0668_3.90,283.0825_4.06,187.0072_4.11,253.0178_4.19,173.0820_4.20,226.0180_4.59,204.0667_4.61,181.0541_4.65,187.0978_4.90,144.0456_4.94,498.2896_5.87,229.0541_5.97,464.3019_6.26,465.3052_6.62,533.2926_6.62,601.2797_6.62,452.3018_6.66,448.3068_6.66,329.2334_7.09,453.2859_7.23,407.2803_7.57,448.3069_7.65,391.2854_7.75,437.2910_7.76,329.2334_7.86,361.9981_8.57,562.3148_8.61,538.3150_8.83,338.9821_8.93,476.2784_9.14,504.3096_9.19,632.3179_9.19,564.3307_9.19,588.3307_9.22,315.2541_9.26,614.3464_9.48,676.3053_9.60,480.3097_9.62,608.3179_9.62,540.3307_9.62,361.9981_9.66,634.3337_9.95,566.3463_9.95
Plasma_neg_34,adequate , high,22,1,65529.515,24705.9061,184695.5266,130135.3604,413556.5786,200529.5066,28392.1705,58621.9092,500728.5043,28338.9941,44933.0601,378483.386,91402.6674,21233.0949,15243.3364,33096.3268,13956.3628,16543.3678,20328.5118,15762.5968,22670.7599,25212.651,17420.7386,16455.2186,22541.0309,22102.489,709886.956,1039995.604,14526.6405,12561.6053,14233.465,24313.8716,12517.5774,123641.7472,38600.5275,64311.3357,80110.8427,51564.8336,17552.1382,26285.4675,37642.3252,17783.9879,12326.2728,27041.0913,76015.9569,26433.0992,29958.7433,234395.0023,241779.5075,371769.0912,160763.2164,46074.3051,82975.0679,103482.0423,63951.1395,60261.6908,68644.9272,210015.9935,24133.529,85198.806,50545.8398,76524.715,31502.424,65824.0999,62594.0786,62623.1846,71091.6052,67161.1933,15979.1397,206473.6674,211537.0186,27436.8321,907160.5968,23537.5891,33580.4302,40146.9915,126611.8906,140574.8627,286607.3487,26051.282,479465.5843,595868.1567,64096.8266,48433.749,50321.0716,27646.9794,29488.5162,48628.9289,32752.5222,50679.8007,27083.161,77384.0473,21500.0491,50499.9497,44801.4237,54238.9853,30023.1286,21408.4965,50199.6018,31320.0247,64088.3792,67531.0363,22291.7871,69563.6307,11908.6897,23790.5172,1261501.169,891021.4111,1260664.816,45095.7602,135568.1514,45679.2484,22410.3,30799.1107,30759.868,23488.7943,790660.0057,60247.7743,34312.7875,56725.4257,277206.1419,222003.554,19573.419,14224.167,70685.6722,82700.5079,34719.3636,331152.5343,20472.756,49087.0453,29141.8129,794669.8576,37307.9619,38541.141,357264.3898,41127.0917,537734.7673,29799.0059,20871.1119,199837.4531,27148.0449,672535.7796,12178.4586,687719.9792,17221.8591,5914.486,32835.5912,22492.104,63121.014,29546.7906,118356.0396,337256.664,415750.6991,375937.0059,8445.5881,18003.6415,299448.943,34349.4675,3987.3139,72357.7871,49971.5611,32487.3186,,9436.7492,3416585.647,175750.3963,34496.0031,39385.3264,136814.1082,127399.3263,839.8679,27956.4122,11277.1137,30377.0894,73472.5562,74365.5757,17489.6541,18424.7251,28780.8188,18163.6206,22517.7113,14183.106,27574.7851,369562.9394,69193.3271,134862.94,5211.9262,5800.6897,14790.0189,24322.9742,283453.1995,42332.115,13542.9271,156791.9205
Plasma_neg_35,restricted , low,23,1,68527.4741,24431.7688,198014.7362,100006.4213,443683.906,206458.5005,29542.1627,41047.8394,510085.7127,19254.9368,43610.419,376005.6118,91300.1437,22128.7569,19173.9329,35990.7703,16822.6386,17997.8152,21225.0858,20854.0649,25881.0473,27194.6729,17540.5278,20906.2839,24802.3046,25813.725,726314.2496,1049931.039,14035.8131,14556.0739,16665.1923,21453.6241,13412.9693,123452.5456,35559.8449,69893.1655,80264.2577,55179.5958,22817.0913,30128.2842,46742.2319,19330.2797,13816.496,29787.4849,79179.0374,27881.3639,28375.2126,235208.6561,246064.85,377447.7149,170379.0174,46628.0219,81714.0798,109155.2558,64864.9388,64441.6491,68994.8603,220852.9261,26989.3511,89595.429,45953.7422,79937.0827,30728.5825,70960.3065,62055.5428,65894.6618,75461.2365,64309.1185,23737.117,205967.3723,218233.4928,36192.3968,956116.6555,20439.8017,32076.8094,36998.0142,124550.9239,136863.8775,255540.7043,26407.1735,434815.879,548477.3036,58648.8536,48356.7035,54032.7848,35574.2574,38571.9771,58324.7927,36546.7067,28282.1381,16131.0039,89452.3225,16101.2274,29609.1207,73837.9073,31578.6453,60126.9575,13510.1961,13720.3259,15344.4413,16113.4579,116502.831,27580.1362,131871.2364,22612.5548,39080.7482,2082497.956,968128.5302,956961.5063,45906.787,151748.3447,39936.6977,19862.6831,29048.5761,28015.7006,22003.6441,599598.4308,51026.7014,26571.2415,44849.8339,181487.7025,171678.7126,14385.2584,14037.9689,34262.0131,66977.2423,31732.2328,313308.4556,20870.7848,55437.0766,15127.6958,432447.3951,25743.5462,56933.0151,230758.0601,45778.2043,553778.1834,29977.5161,21228.1256,194165.9799,25720.657,175305.9659,13180.9773,470569.5191,12934.4056,8368.2869,21721.6996,22456.7912,63306.5355,26241.2259,73081.1122,203252.4316,250081.6661,251216.4709,3433.2703,27299.7275,293488.9531,28075.6535,16337.5491,86846.3172,27209.7117,39002.64,264.3893,54654.4208,3296815.838,167827.3586,29013.9865,34938.4385,333269.7389,127113.9261,19168.3551,26762.6979,53759.6933,32686.0818,82479.789,78068.9334,21282.482,24218.6801,29794.4486,23690.5578,48525.2653,20338.0889,31737.51,487589.7079,111469.1089,144575.4465,13808.9763,8514.1461,22098.9555,35178.3532,433377.025,30245.129,19784.1313,217310.6534
Plasma_neg_36,adequate , high,24,1,68014.833,25157.6788,190112.8593,134765.5102,421463.0043,200598.9404,28669.8646,55094.8731,510524.0469,25240.4619,44050.8782,391905.4272,90618.8029,23037.6232,15024.0658,55903.6237,16070.8719,15581.0808,20008.1527,18615.7747,22119.4066,24389.377,12230.0716,17426.7457,30720.0063,30492.2789,700773.6148,1026618.28,14609.5695,13470.4159,12912.0581,23587.2314,11937.6228,125681.5171,34057.8729,63915.0147,75660.4427,52733.8447,17272.0622,39148.8642,64921.636,17776.9198,14989.5145,23721.0269,69747.3539,22303.5647,29756.8467,218048.0838,224863.7164,343253.2105,168466.7533,43798.6751,77757.2212,110244.9696,59365.0879,57287.1948,65990.4634,228933.4433,24211.6442,89267.4873,47655.2051,76361.1714,28366.7037,68748.4887,63534.0677,65912.0381,75101.1359,72215.787,17115.2962,220427.6643,234005.8228,22802.1609,1127333.44,21612.1417,36865.4096,32492.1599,121930.1227,144696.4794,265965.2204,26907.5632,446803.3169,557457.0858,59894.1495,52056.7229,56977.3187,34765.0856,36798.0448,62760.1925,39654.894,19670.7211,9785.3065,118637.9432,17807.0275,39862.315,77473.252,51400.9774,33884.3445,19315.5098,32474.2729,14386.2629,28276.6554,80993.678,32126.6048,137524.1782,23827.8794,42825.6973,2133714.192,769666.1821,642875.9161,34889.1805,262604.4212,35281.3917,15708.3325,21400.7904,20866.7878,21695.334,509988.5078,56921.2702,25588.8274,47634.9113,298249.0492,134451.4099,52280.5267,49781.7436,193665.6942,86241.9248,30468.5544,301664.8026,21660.8555,105321.6477,19491.2149,450966.6345,28965.4414,23575.8179,442999.4864,44666.85,590977.2763,30909.3641,18000.8077,18050.6298,1946.5484,990596.0726,921.3843,626498.8102,17306.8242,,30738.8407,8165.6829,10087.6031,47128.0738,60135.3085,173193.6109,154399.2918,248134.5253,16980.1769,13582.2139,24765.9367,19284.8891,2514.8686,47057.0118,14446.036,19409.4256,,132486.7127,3455228.861,169994.8806,32603.2813,37514.5051,71631.0169,119426.0351,9767.0469,28911.2272,69881.8936,10832.5365,26923.8966,71103.0653,21118.0975,14365.6196,33712.9362,17911.4373,17380.8003,13053.4564,26276.4363,349758.9817,101416.1454,144390.6736,11217.3787,8633.4903,22146.4626,28569.2172,386311.852,37916.2424,19933.8374,214389.9353
Plasma_neg_37,restricted , low,25,1,73170.864,27048.6054,188615.2569,111793.2849,426329.8538,200144.65,28690.9082,49733.7052,498170.5634,23214.1445,42846.5047,402621.3584,90990.6619,23381.5329,19569.9022,42346.3738,17776.4886,17237.6028,19721.25,16144.9551,21319.0097,22503.9237,16584.008,18722.3909,27036.586,24938.0201,704052.9352,1010837.273,14431.6688,12432.5529,17147.5264,23281.5724,12989.6313,122084.701,33308.5217,62808.2958,75490.3208,48919.4999,16186.5423,33006.2539,52884.9253,17390.1374,14546.485,27472.3402,73081.288,24507.1469,31533.3342,218793.7216,228538.7785,350083.0623,166373.3154,45307.8439,76382.6093,105211.3929,58151.3547,56487.5944,69588.1409,217366.5003,24778.3121,82783.2232,46535.5905,75593.4213,29745.7907,67097.1507,59883.3456,66055.0059,73853.5334,70726.2007,19176.8173,211945.524,228495.9928,32710.7665,1057505.779,28130.7871,21331.2547,37392.7112,129332.3311,143004.008,272050.5653,28110.1773,451789.5214,562915.4848,62596.2891,56930.3497,60597.3965,41313.7556,40354.0013,57831.6927,41085.5126,23764.6663,11239.9851,108691.08,15326.6626,37107.6595,56717.6008,22267.008,32332.3169,15731.3481,29981.3443,19914.0409,24203.9619,99584.1391,26467.1544,120974.6623,24254.9746,38827.4922,1839606.848,930260.4963,875218.5825,39228.4457,170446.0999,60296.8963,25456.1808,34548.282,29087.6828,22418.9338,857418.5812,80579.6717,14823.5097,59776.4962,274467.2238,128090.5927,20444.4297,21375.8596,41003.3305,91099.2397,39333.6395,348282.5055,20506.4682,86958.7474,25256.7318,674549.0235,40274.9334,63506.7403,431316.8769,50683.3413,622515.8126,31414.8279,18703.266,225788.7073,27615.3447,155552.264,17590.211,742212.9253,26750.3871,8253.2078,39696.4305,20590.1544,52626.7022,41784.8656,68286.6458,192535.2313,203191.0517,180024.5515,36071.8432,28243.4375,443390.6355,40029.4502,5192.3014,95655.5437,26782.9861,17238.4536,,5596.1441,3351330.805,176488.9419,32451.8674,37065.6632,117117.3052,128346.7372,2005.5818,24557.9055,13698.425,13052.0506,33048.8805,82316.5912,18070.7025,24172.5032,31513.5821,22198.0338,54275.8446,25501.2144,51405.989,675282.1708,130184.5163,138819.3564,15784.6094,12045.6849,29651.0953,45590.6128,516441.8529,35722.3827,22152.4742,269540.2061
Plasma_neg_38,restricted , high,26,1,67782.6685,24026.4904,190029.5522,111984.6665,426733.2778,201644.655,26352.1763,47111.092,499555.4129,21609.4679,41808.0557,380505.4975,88452.1437,23869.303,13565.9839,41057.9472,14894.023,15675.7823,20568.7026,18086.4793,25231.1859,26205.9478,18881.4165,17744.4673,25383.8206,25482.573,714747.62,1047763.846,13835.1089,12741.9669,15616.8615,21105.9971,12440.6673,126743.1873,35409.3296,67548.4861,78940.8801,51631.6815,21880.2535,34774.8674,54319.7368,18955.882,13325.2045,25666.1675,78054.1643,28369.0761,32230.9947,226589.0044,230309.931,359430.9281,168364.6756,46829.2219,80271.8055,107830.9783,65413.7731,59338.8906,73398.9542,218760.7864,25949.3635,88121.8336,48002.2551,75198.6081,31253.0454,70769.1524,65939.7029,66493.8483,90452.8784,68441.6854,17212.313,215411.3142,223411.4469,23610.3875,1043816.243,25726.6288,18847.0556,42880.4766,127276.4605,145081.8516,285660.1099,28675.1004,478898.0229,600470.7198,66730.576,50608.2087,51658.8386,35526.3567,30976.2065,54969.5338,34554.9147,70253.5621,34851.3463,96436.1029,18910.0316,39169.7504,49245.2478,46838.105,46636.0771,18207.3812,36278.8272,26323.8694,33583.651,64341.2279,27138.4573,91440.3263,16499.7423,27716.8071,1584537.354,795100.9296,1398774.135,43190.3305,159687.6423,56761.8154,25586.4984,34266.0264,31457.0577,20551.8633,865977.3394,72254.8855,34944.0585,50434.0398,244706.2584,251984.63,17217.5279,16474.361,33827.0581,88366.8009,39240.3131,385628.0576,16691.0118,84473.353,26505.4804,695430.1004,36159.2198,69389.934,382445.9138,51777.5674,635379.1755,28650.6364,17871.168,148550.8662,20949.4058,183113.1054,14718.6624,663275.6404,24696.4106,6191.8914,34233.1796,25638.5911,23870.1513,40250.8017,55562.0197,164245.2951,189200.357,108322.1498,49967.337,24705.8967,109573.7444,46291.4565,16401.0815,91663.4736,27675.9139,35900.493,,24762.6706,3433555.717,183655.9561,31045.3712,36965.3311,168135.1892,129410.7399,4636.7386,26145.777,13001.3257,9404.5393,24070.4413,73986.9273,22917.7736,24318.3895,25338.4101,18843.9298,58430.3622,20395.4688,40412.2651,566205.328,113143.3351,135977.6316,17687.7381,10940.4653,28132.0957,44023.5456,508202.1082,34925.5831,20737.363,247511.2205
Plasma_neg_39,restricted , high,27,1,72805.7816,23933.3832,193069.5065,89754.119,427722.8695,202117.5673,26371.43,35992.4284,498028.2397,19056.9556,32755.3631,401767.285,91240.7339,19866.4535,16398.602,28894.9391,15855.0075,17294.6042,21580.5648,18780.7755,24921.5704,27318.9136,17994.4464,19923.4721,22999.5744,23097.4683,724518.2268,1060647.388,17484.8431,14098.5479,17463.2134,23876.6673,12883.2089,122435.2942,38738.0423,66057.7917,80528.0457,53529.117,19330.4116,25583.2187,41554.6845,20371.6119,14318.1521,29832.6743,81956.8001,26869.485,28582.2783,247820.36,250671.8461,382009.7351,172546.9159,48735.1824,85255.945,109186.2955,65247.6159,63810.6706,75747.8341,219463.7301,27596.0803,95109.3192,50292.4608,75326.5546,32853.3153,71302.4382,63765.19,71536.3349,79076.6989,66362.67,12406.2749,212016.5685,221987.0581,20261.4454,822209.0507,21486.5335,22287.6392,41278.8783,132412.0942,164718.3266,293545.812,27315.5258,490468.8894,619875.0951,67605.5711,55199.8839,56932.4435,36410.7243,39273.9634,59844.6211,39877.518,29964.247,13401.7712,53598.9637,19495.687,26803.8959,86842.4349,40675.1729,26489.9179,13753.8754,23857.9358,12314.4152,25410.0423,66411.7329,36692.2803,160803.2367,25050.1687,51898.6215,2449001.231,704118.7471,641436.7027,35695.4318,120890.0804,60835.5548,24573.4474,38107.3157,22573.3209,25202.2751,794563.6623,42404.2475,17349.0795,45917.7881,214414.3666,231275.1439,16250.529,15776.8935,31901.5198,73391.7178,27598.7425,282908.1625,16139.283,47946.5161,24096.1089,637392.6531,36337.4457,41033.8126,310736.3552,40190.8253,520182.515,28538.7993,19806.8595,155657.5502,21644.5073,236691.8019,13341.3467,616949.3077,20360.8562,5304.9059,32518.5466,85032.9668,37701.9912,30280.5677,40812.5453,111042.7007,142708.9237,167856.5554,30464.1436,19308.8039,282001.553,29673.8327,34008.6382,79314.9446,26225.6348,31717.479,,47334.7811,3227124.528,169417.9303,31407.19,36844.0412,247297.6172,124091.3683,1450.2029,26244.3867,34254.8181,16753.6379,38068.9248,70900.9416,19282.6048,30015.4967,42720.7658,22451.2976,58671.5366,30103.679,42205.2843,643269.9529,171878.5697,140864.5886,24303.8197,12428.2294,29135.1124,45592.5713,551142.0475,35259.0837,24263.2493,303772.2278
Plasma_neg_40,adequate , high,28,1,71161.6765,24830.1171,185905.5371,104056.3522,418366.0684,198683.1141,26619.1432,41960.3479,494489.9982,22969.1867,38918.8075,400580.8338,92297.6038,28310.2714,15672.0851,35668.0045,15147.1359,13184.0509,20274.7248,17024.0519,23247.7927,26643.5181,16076.8139,17263.3708,26140.3134,25724.4997,719525.813,1042362.081,13686.536,11767.9627,14015.143,23435.8049,11365.9191,120663.5606,34720.2739,65994.7856,76041.2569,52662.7163,19284.6138,29362.6347,48888.6002,16866.7154,12694.8676,27589.3891,75345.9282,24876.2411,28332.0062,229869.0869,234499.9693,367795.84,166850.3154,48005.9099,78991.9112,104255.9279,61991.7164,58919.8162,69207.3696,219037.9319,24251.5874,88819.3587,45882.6005,74682.7086,32231.3032,68727.6215,61229.2703,64551.9046,97490.979,70135.9611,18990.1746,219419.801,219584.6467,25747.2732,958884.5653,21780.3326,20990.5152,43257.9326,133899.33,150324.2793,293724.8026,27220.7444,491551.786,611674.6154,64018.8866,57296.3098,57270.9792,34023.2852,38406.0551,60390.1536,41171.014,27613.0438,15340.3555,90762.6445,14234.7853,53119.5911,59276.2194,46882.2034,37823.2366,15583.1818,18748.3235,14220.9373,19752.9922,85466.4989,22256.4309,100700.8542,19357.1041,31185.4012,1485933.262,796271.1007,757823.9919,26367.3873,189668.6776,81096.9872,35251.7873,46082.3324,28489.6663,27456.7514,1118652.2,48953.626,9276.4593,45598.6323,323035.8847,177410.6585,20574.1919,19899.9189,46311.8474,92949.3544,54379.8895,528886.1911,26330.5498,77780.981,29667.8152,795263.3582,41084.237,69896.371,452975.076,39694.3856,519033.788,28834.895,21601.3414,152418.7176,19273.7785,121075.7202,14132.2356,799632.9437,30038.8968,5187.9454,33296.0773,26930.2484,24212.9937,41148.9244,46039.7369,123820.365,170465.5864,99770.4756,37941.9537,22468.0541,116234.0268,39177.7648,8765.5999,86652.2983,36447.5664,81565.405,,20150.306,3218516.36,167999.4695,29782.0609,38530.0682,259938.758,122811.9652,23369.2157,24413.4907,27733.2244,52017.1693,132028.2987,74642.914,17467.4399,21169.8641,39182.6484,23041.8927,57679.4804,20565.1325,36414.4411,489874.6817,129333.8324,141138.4989,12399.1763,12851.1799,31499.0862,46427.4442,558423.5061,38662.8845,20077.6934,238337.453
Plasma_neg_41,adequate , high,29,1,73296.724,26499.8062,198291.6238,110611.7011,437963.0452,203519.2559,26698.25,41018.4353,504695.2457,21942.4711,37510.7746,400277.2868,92305.1603,27504.9925,14084.9729,38326.7597,11964.171,16226.2739,19234.1212,16542.4132,23820.432,24776.963,13350.2547,16608.6243,25073.0984,23289.8523,700911.6881,1040262.337,12741.1283,11493.7797,13680.1756,22127.7863,10922.3548,122963.3786,36118.5301,64399.4938,79235.5863,51948.5611,18617.5571,29579.1538,46475.9205,19306.2461,10134.9528,25527.6631,75151.9597,27516.8662,30035.1098,230857.1115,238918.4438,370096.1781,168504.514,43432.339,80493.347,104491.4079,61988.8135,61490.7227,68800.958,214378.0976,24014.7478,84276.9206,46519.8618,78226.5067,30905.2386,70519.5856,60241.8704,65566.5555,105569.4585,71222.2684,16720.604,215579.9476,222529.5665,25045.9646,992229.8347,28568.5347,27940.4332,46272.533,133587.7103,161540.1745,283414.2257,27733.995,477073.1102,592453.2343,64203.8061,58758.9632,62126.0846,40765.9832,41492.9794,66109.6853,41632.2444,33116.7133,16412.8385,101759.692,17822.647,57904.68,90742.7614,38712.8315,39254.4639,20210.0702,24664.5985,17947.3124,20660.9783,91391.1596,30256.2188,133789.7348,20703.5616,54328.3166,2275598.821,843650.5756,1121374.15,38146.7596,229159.9199,76914.3725,34297.1954,41549.8343,23530.7218,21785.9919,1122348.028,39517.0165,9373.6047,47463.9356,316258.2074,113554.1252,15762.396,15046.337,36836.9969,90047.8297,47884.5932,456409.1246,23256.6052,81858.6058,29373.7055,762002.6324,42193.6574,54928.0976,438723.2113,44476.9984,563341.1634,27777.7848,18850.4632,149287.0306,19349.4561,164415.7319,13665.7716,774807.1588,26151.505,5541.669,44159.1928,21449.7311,73718.7751,44338.4686,48868.7631,146187.2673,191781.5962,146492.9643,4764.8477,22402.0935,323139.4885,30736.6901,22894.5635,84703.3592,26101.9626,43317.2654,,17849.0926,3422052.906,175578.4493,31230.6302,37036.1616,122841.7756,119689.9325,10854.3207,26307.0769,18829.8455,20622.4066,49686.7222,78384.0784,14497.8874,24246.2032,51196.3072,22974.6113,49358.4439,26401.0326,48231.0537,646245.5602,150316.2235,140664.3252,22558.1778,11513.9687,29967.0364,45850.6545,581519.1084,35219.2689,23331.4041,321174.4798
Plasma_neg_42,restricted , high,30,1,66667.7717,25440.1181,190227.5942,102094.4603,419875.6562,191987.7782,28311.4932,44001.0962,492053.0254,20585.1008,33521.1193,409783.7672,88919.6115,28991.1895,13438.0359,29598.6238,13478.7419,15685.1247,19943.7253,16546.0079,23935.5101,23803.3724,15673.225,18360.1276,20834.1443,22305.7133,705697.1866,1023055.325,11862.7283,11289.8753,14905.1933,23299.3296,10848.5467,122324.1185,33264.2203,64067.1582,77126.9752,50067.6508,20517.1532,24544.7915,38456.9148,18411.9586,11681.5625,28866.9303,75923.4146,26223.3917,29866.48,227144.994,238519.0633,370030.15,159053.8555,42829.1095,79392.4773,103852.4035,59343.5425,56939.9866,65673.6878,209809.1085,24815.9318,85643.6688,44331.8198,72369.7813,27408.9231,68727.7388,62522.1579,61015.7425,88723.4102,66218.0764,15860.3088,202322.6446,210016.1514,29836.5119,835711.2891,21131.078,25382.3612,43523.9115,131112.5981,155201.4527,301210.6636,27538.286,507151.163,635609.3936,66482.9815,55543.0628,57378.5945,37071.4498,39380.1032,59805.3251,39484.9787,34941.5462,17206.1788,81087.4477,15625.5822,47041.1538,50628.8855,20352.9644,31159.9194,15703.9596,40383.4132,23949.6898,35786.7496,48708.988,20196.2067,82863.1187,17994.8422,24079.3561,1313171.814,876522.7944,782294.6995,30804.5108,149334.5671,48610.8409,21980.8475,31074.7192,24029.6157,20608.0056,744659.8948,60369.6618,28394.127,66905.2931,242680.3478,61158.3397,25127.8647,27009.2787,26290.8738,80102.5188,30495.8133,306294.8074,18710.5496,64891.5527,23823.3622,623363.7923,39400.787,46759.7107,363327.2526,43339.2984,527676.8549,27317.0538,18914.3938,153558.7966,20638.3556,295037.4774,12869.896,687873.5729,23203.0101,7000.9435,38184.9102,23992.6445,20565.4909,38160.9814,59665.8565,174070.1065,186170.1251,134813.0637,16166.1133,22285.231,149320.1791,42992.2452,3979.4479,87067.2842,31614.6574,3382.5918,,13851.0517,3203405.893,172494.2346,34379.2485,36385.6353,35597.8961,120778.2512,12480.6168,29056.9989,10615.2908,17830.6787,41636.924,67975.8964,17951.456,27219.896,55309.919,22873.9269,48572.0639,28100.4454,49005.4486,694389.0647,175333.5075,132910.6921,28015.4904,11641.1951,26214.1544,41465.497,562216.6712,27409.843,27599.1554,376357.281
Plasma_neg_43,restricted , high,31,1,76331.5698,23681.0843,193056.2531,116148.9623,431795.1994,203448.2785,28007.4091,46121.7671,501968.5521,23352.5503,41302.2006,404760.6681,93415.942,18983.1232,16701.7434,37347.172,14710.0126,16805.7481,19167.8448,20117.7512,22940.5877,23539.4848,16550.9629,18058.344,27533.5635,23018.8521,684485.4131,1003663.285,12886.9279,12896.9994,16651.0002,22945.7648,12578.5376,112754.4434,34045.9328,58950.7374,73096.0527,45524.7323,18100.5675,29492.6267,47088.9025,18080.1336,12820.8077,26860.6749,72024.1258,25401.8357,27011.1534,217462.7015,221808.9922,348410.9087,160781.4385,41539.4583,75466.0726,105382.3598,56647.5214,55107.5527,66629.7116,211758.9125,26660.6777,84501.4503,45698.7353,72342.2133,29244.8575,65130.3208,58720.1387,62669.6943,84043.13,66472.1615,14975.6701,209365.8441,213756.1798,24473.8118,946575.7399,27208.9954,30059.2343,39704.7827,132044.1732,145796.7491,277325.208,29320.574,468878.7788,580639.948,62264.6015,54435.6828,54783.5482,36419.7442,34879.2508,56727.4634,37452.5208,22340.8977,11680.5204,94184.386,23149.035,53769.2407,124172.7056,28030.3458,31410.464,12494.6892,39511.7505,29361.5666,38366.1461,79479.8569,25143.5263,173813.8986,29834.7725,67239.7877,3591227.684,595146.8162,1041348.98,59483.1454,200286.3066,45417.501,20320.5894,32657.9935,26265.5366,17704.076,717539.4718,69850.5972,15817.7266,64669.7484,219525.6655,210916.7242,25939.7078,30495.0371,30579.732,87994.4776,34285.2797,334592.6207,17803.7029,99612.5736,23001.3214,650721.6293,33144.3277,46428.3412,434334.0433,43326.1593,522790.9032,26761.738,18080.0401,138641.1375,17612.2578,79869.4707,13595.2684,742011.9203,28171.2341,4940.3844,38082.5886,19529.8207,24300.9232,50912.5967,33276.9854,91094.4093,108687.8433,64757.3352,36317.2334,27194.081,73793.8161,33979.8268,21419.9332,102670.9269,20724.223,17308.448,,18111.431,3162172.823,167457.3179,33716.4955,35810.8795,133136.5379,127139.5341,5142.7009,26128.39,17250.6274,17751.4904,36872.25,76488.7376,14192.7064,22121.0134,40766.2795,16910.5764,49571.5583,23383.3755,41540.586,609417.4285,154967.0606,140290.9717,22101.5276,10009.9237,28615.8766,41108.2569,508354.8333,27697.0907,24482.7366,289862.7139
